Dirección del hecho,Latitud,Longitud,Fecha del hecho,Dia,Mes,Año,Hora,Rango de Hora,Barrio/Vereda,No. Victimas Fatales,No. Victimas No Fatales,Comuna/Corregimiento,Tipo de via de Hechos,Clase de Accidente,Genero,Edad,Rango edad,Medida de Edad,Ocupación,Municipio de Residencia,Características de la victima,Medidas de Protección,Vehiculo de la Victima,Vehiculo 2 de la contraparte,Vehiculo 3 de la contraparte,Vehiculo 4 de la contraparte,Tipo Vehiculo de la victima,Tipo Vehiculo 2 de la contraparte,Tipo Vehiculo 3 de la contraparte,Tipo Vehiculo 4 de la contraparte,Alcohol en el hecho,SPA en el hecho
"Carrera 7, calle 96, Neiva, Huila, Colombia",29818970352825800,-7528244355819410,01/09/2018,2018,septiembre,2018,16:05:00,12:00- 17:59,ASENTAMIENTO BRISAS DEL VENADO,1,0,9,Municipal,Peatón Atropellado,Masculino,62,>61,Años,INDEPENDIENTE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 52, calle 20A, Neiva, Huila, Colombia",29427578,-7524837919999990,05/09/2018,2018,septiembre,2018,8:20:00,6:00 - 11:59,LAS PALMAS,1,0,10,Municipal,Colisión con Objeto Fijo,Masculino,20,20-24,Años,GUARDA DE SEGURIDAD,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,No,Sin Dato
"Carrera 1, calle 48, Neiva, Huila, Colombia",29546527,-752976557,07/09/2018,2018,septiembre,2018,13:50:00,12:00- 17:59,CANDIDO LEGUIZAMO,1,0,1,Municipal,Colisión con Objeto Móvil,Masculino,11,10-14,Años,ESTUDIANTE,NEIVA,Ciclista,Ninguna,Bicicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 2A #27-42, Neiva, Huila, Colombia",2923970822516440,-7526957976382070,14/09/2018,2018,septiembre,2018,23:42:00,18:00- 23:59,NUEVA GRANADA,1,0,8,Municipal,Colisión con Objeto Fijo,Masculino,24,20-24,Años,EMPLEADO PARTICULAR,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,No,Sin Dato
"Calle 20 #33-43, Neiva, Huila, Colombia",29408171,-7526631420000000,17/09/2018,2018,septiembre,2018,19:13:00,18:00- 23:59,EL JARDIN,1,0,5,Municipal,Peatón Atropellado,Femenino,47,46-50,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
"Carrera 7 con calle 16, Neiva, Huila, Colombia",29342414,-75288677,06/10/2018,2018,octubre,2018,21:50:00,18:00- 23:59,QUIRINAL,1,0,3,Municipal,Colisión con Objeto Fijo,Masculino,20,20-24,Años,SIN DATO,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 5 sur #36-30, Neiva, Huila, Colombia",289061183224396,-7527631674366090,12/10/2018,2018,octubre,2018,14:40:00,12:00- 17:59,ZONA INDUSTRIAL,1,1,6,Municipal,Colisión con Objeto Móvil,Femenino,16,15-17,Años,SIN DATO,RIVERA,Conductor Moto,Casco Protector Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,Sin dato,Sin dato,Sin Dato,Sin Dato
"Calle 9 #15-25, Neiva, Huila, Colombia",29315966012973400,-7528013271503070,30/11/2018,2018,noviembre,2018,16:51:00,12:00- 17:59,ALTICO,1,0,4,Municipal,Peatón Atropellado,Masculino,84,>61,Años,MAESTRO DE OBRA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,Sin dato,Sin dato,Sin Dato,Sin Dato
"Carrera 33 con 24 sur, Neiva, Huila, Colombia",290280,-7526678,02/12/2018,2018,diciembre,2018,12:35:00,12:00- 17:59,PUERTAS DEL SOL,2,0,6,Municipal,Colisión con Objeto Fijo,Femenino,46,46-50,Años,AMA DE CASA,NEIVA,Pasajero Moto,Casco Protector Moto,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,No
"Carrera 33 con 24 sur, Neiva, Huila, Colombi",290280,-7526678,02/12/2018,2018,diciembre,2018,12:35:00,12:00- 17:59,PUERTAS DEL SOL,2,0,6,Municipal,Colisión con Objeto Móvil,Masculino,49,46-50,Años,AGRICULTOR,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,Vehiculo particular,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,No
"San Andrés de Busiraco, Neiva, Huila, Colombia",309010,-7527964,06/12/2018,2018,diciembre,2018,19:30:00,18:00- 23:59,VEREDA SAN ANDRES DE BUSIRACO,1,0,Guacirco,Nacional,Colisión con Objeto Móvil,Masculino,46,46-50,Años,OFICIOS VARIOS,NEIVA,Conductor Moto,Casco Protector Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,No,No
"Carrera 1 con calle 55, Neiva, Huila, Colombia",295825,-7529707,16/12/2018,2018,diciembre,2018,0:00:00,00:00- 5:59,CANDIDO LEGUIZAMO,1,0,1,Municipal,Peatón Atropellado,Femenino,90,>61,Años,AMA DE CASA,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Sin dato,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Sin Dato,No
"Carrera 20 s con calle 27, Neiva, Huila, Colombia",290309,-7527712,17/12/2018,2018,diciembre,2018,0:00:00,00:00- 5:59,SAN JORGE,1,0,6,Municipal,Colisión con Objeto Móvil,Femenino,50,46-50,Años,DESEMPLEADA,NEIVA,Pasajero Moto,Sin Dato,Motocicleta,Motocicleta,No aplica,No aplica,Particular,Particular,No aplica,No aplica,Sin Dato,Sin Dato
"Carrera 2 con circumvalar, Neiva, Huila, Colombia",292034,-7528925,26/12/2018,2018,diciembre,2018,16:37:00,12:00- 17:59,SAN PEDRO,1,0,4,Municipal,Peatón Atropellado,Masculino,61,>61,Años,HABITANTE DE CALLE,NEIVA,Peatón,No Aplica,Autónomo (Peatón),Motocicleta,No aplica,No aplica,No aplica,Particular,No aplica,No aplica,No,Sin Dato
